,FQD_score_german,FQD_score_italian,FQD_score_french,FQD_score_chineese,FQD_score_spanish,normalized_FQD_score_german,normalized_FQD_score_italian,normalized_FQD_score_french,normalized_FQD_score_chineese,normalized_FQD_score_spanish
0,0.13594210147857666,0.11421304941177368,0.1161808967590332,0.11440861225128174,0.10198307037353516,0.24711654458187757,0.24850515288772065,0.13689569686204522,0.1836945334066404,0.12327007476597605
1,0.027565956115722656,0.020285606384277344,0.018962442874908447,0.017539680004119873,0.006331980228424072,0.05010976904402442,0.04413770671920581,0.022343522555473803,0.028161882326820393,0.007653794456768093
2,0.06495106220245361,0.056366562843322754,0.038140714168548584,0.04754817485809326,0.09744703769683838,0.11806862824342008,0.12264269620022353,0.04494121454043679,0.07634348866108824,0.1177872389232786
3,0.02315431833267212,0.007375597953796387,0.014031052589416504,0.03144276142120361,0.0174446702003479,0.042090268704998324,0.016048094483311896,0.016532882116460902,0.05048465455951392,0.02108602901712808
4,0.05048942565917969,0.011894047260284424,0.058016300201416016,0.12037789821624756,0.08995342254638672,0.09178018280321816,0.025879342046801236,0.06836055011633484,0.1932788123869829,0.10872948633050034
5,0.06910085678100586,0.04153168201446533,0.06954121589660645,0.07373398542404175,0.05715513229370117,0.12561214851098307,0.09036494423032979,0.08194031917085563,0.11838739730668248,0.06908523017236942
6,0.030356168746948242,0.050553321838378906,0.03510606288909912,0.04332995414733887,0.01296234130859375,0.05518183348867063,0.10999423926528196,0.04136549523577173,0.06957071812709018,0.015668106515660415
7,0.03750675916671753,0.022901177406311035,0.01075291633605957,0.031087517738342285,0.04024094343185425,0.06818021756179019,0.04982866936884291,0.012670265293292576,0.04991427569300793,0.04864055361209783
8,0.09535789489746094,0.05722290277481079,0.06759679317474365,0.08442091941833496,0.03293776512145996,0.17334234224668227,0.12450592167735165,0.0796492124759686,0.13554632677445488,0.039812987617798175
9,0.03212541341781616,0.04317891597747803,0.03997570276260376,0.23700112104415894,0.11929452419281006,0.05839797654836545,0.0939489979148786,0.047103375373886376,0.3805289306975322,0.14419493714122725
10,0.12980926036834717,0.19165962934494019,0.20985859632492065,0.25128448009490967,0.12850254774093628,0.235968231011884,0.417013516846842,0.2472758123707787,0.403462276280613,0.15532494548738265
11,0.136233389377594,0.09954965114593506,0.07127934694290161,0.1105225682258606,0.09059840440750122,0.2476460493870768,0.21660051288954665,0.08398835308445998,0.17745510539328627,0.10950909483821142
12,0.14560383558273315,0.07588118314743042,0.16806566715240479,0.1082795262336731,0.1886594295501709,0.264679699975448,0.16510263108135553,0.19803134574864495,0.17385367963752232,0.22803833431790038
13,0.1364918351173401,0.018768906593322754,0.010527074337005615,0.029602646827697754,0.06304359436035156,0.2481158535277242,0.040837669446915,0.012404156432188814,0.047530168591934596,0.0762027871166254
14,0.022742271423339844,0.017992377281188965,0.013731777667999268,0.09134232997894287,0.03319990634918213,0.04134124748168295,0.03914809601362864,0.01618024749212678,0.14665933595841593,0.040129845414389374
15,0.1693708300590515,0.06375569105148315,0.11670243740081787,0.14637720584869385,0.1045680046081543,0.30788347817155176,0.13871997045191808,0.13751022643044267,0.2350232721276615,0.1263945606510527
16,0.34485262632369995,0.18257349729537964,0.3410087823867798,0.22723305225372314,0.263194739818573,0.6268752888872902,0.39724389954793404,0.40180963155704147,0.3648453301905075,0.31813135167768025
17,0.013451457023620605,0.019460082054138184,0.005800783634185791,0.005121946334838867,0.006562471389770508,0.024452352043658847,0.04234152986542809,0.006835184135445126,0.00822398280441699,0.007932395889105102
18,0.13329052925109863,0.11512970924377441,0.1838473081588745,0.20166146755218506,0.18561667203903198,0.24229650145437753,0.25049962247864105,0.2166267997924997,0.32378762191728644,0.22436046399998674
19,0.019232630729675293,0.07171303033828735,0.020173072814941406,0.012249886989593506,0.013976871967315674,0.034961402599395106,0.15603355906802155,0.0237700037056133,0.019668596480398728,0.01689439950242231
20,0.07226824760437012,0.08438539505004883,0.006006956100463867,0.10248345136642456,0.1243131160736084,0.13136984962583612,0.18360610580817455,0.007078116452826471,0.16454750820517752,0.15026105645850463
21,0.030818164348602295,0.014181911945343018,0.016669154167175293,0.049740493297576904,0.01661527156829834,0.05602165172994323,0.030857280845025342,0.01964134825329188,0.07986347273641654,0.020083510545193896
22,0.2063605785369873,0.17439192533493042,0.19793248176574707,0.20979297161102295,0.027951598167419434,0.37512365405339343,0.37944242520447236,0.23322331205627125,0.3368435558911476,0.033786061261263337
23,0.10854357481002808,0.09202516078948975,0.09457248449325562,0.1128227710723877,0.07573628425598145,0.19731134644176454,0.20022871750897633,0.11143457801615282,0.18114830855391253,0.09154481396257871
24,0.083743155002594,0.025841355323791504,0.08839184045791626,0.08857035636901855,0.05073350667953491,0.15222900178105175,0.05622591210120011,0.10415194612296368,0.1422086581789315,0.06132322279825708
25,0.028271257877349854,0.033564209938049316,0.06261414289474487,0.11386704444885254,0.1152498722076416,0.05139187061143232,0.073029308678115,0.07377817255937606,0.18282499273867509,0.13930604756389992
